2018-01-03 22:22:32.606747	https://www.encodeproject.org/report/?type=Experiment&assay_title=ChIP-seq&assembly=hg19&files.file_type=bam&searchTerm=H3K4me3&lab.title=Bradley+Bernstein%2C+Broad&sort=biosample_term_name&limit=all
ID	Accession	Assay Type	Assay Nickname	Target label	Target gene	Biosample summary	Biosample	Description	Lab	Project	Status	Biological replicate	Technical replicate	Linked Antibody	Species	Life stage	Age	Age Units	Treatment	Term ID	Concentration	Concentration units	Duration	Duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Replicates
/experiments/ENCSR578QSO/	ENCSR578QSO	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	endothelial cell of umbilical vein male newborn	endothelial cell of umbilical vein		Bradley Bernstein, Broad	ENCODE	released	1,2	1	ENCAB582RSV	Homo sapiens	newborn	unknown											/replicates/c38aaf3f-b825-49c8-bf81-3bd68e803b76/,/replicates/ec048d74-3001-49a9-b1e7-fa44ff4ff8f3/
/experiments/ENCSR489ZLL/	ENCSR489ZLL	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	stomach female adult (53 years)	stomach		Bradley Bernstein, Broad	ENCODE	released	1	1	ENCAB902NZL	Homo sapiens	adult	53	year										/replicates/f42ae22b-c6ff-4ec5-9ae3-392a8c83decc/
/experiments/ENCSR579DZQ/	ENCSR579DZQ	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	CD4-positive, CD25-positive, alpha-beta regulatory T cell	CD4-positive, CD25-positive, alpha-beta regulatory T cell		Bradley Bernstein, Broad	Roadmap	released	1,2	8,2	ENCAB000BLE,ENCAB000BLF	Homo sapiens	unknown	unknown											/replicates/3683b927-00b6-4f7a-9151-670ecbd8e5fe/,/replicates/b86e063e-03b6-4f4a-a7e9-5ec3d037c5d5/
/experiments/ENCSR878KIY/	ENCSR878KIY	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	Peyer's patch female adult (53 years)	Peyer's patch		Bradley Bernstein, Broad	ENCODE	released	1,2	1	ENCAB582RSV	Homo sapiens	adult	53	year										/replicates/e08a8173-adb9-43a0-a497-8f3109ecd8a4/,/replicates/ac85b078-a1d4-4d2c-9d9d-601cccbed0d3/
/experiments/ENCSR019SQX/	ENCSR019SQX	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	H1-hESC	H1-hESC		Bradley Bernstein, Broad	Roadmap	released	1,2	1	ENCAB000ASG,ENCAB000APL	Homo sapiens	embryonic	unknown											/replicates/5a1f4150-68a4-4443-ad12-8d95b22b51ae/,/replicates/7e6a0958-55d0-4409-a2f4-a3dca56ca6b7/
/experiments/ENCSR457FQI/	ENCSR457FQI	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	CD4-positive, alpha-beta memory T cell	CD4-positive, alpha-beta memory T cell		Bradley Bernstein, Broad	Roadmap	released	1,2	3,2	ENCAB000BLF	Homo sapiens	unknown	unknown											/replicates/5e702456-6310-4721-b9c5-53832bda2313/,/replicates/97024107-c434-4adc-b73e-490b0ca4ea2f/
/experiments/ENCSR975NOU/	ENCSR975NOU	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	thyroid gland male adult (54 years)	thyroid gland		Bradley Bernstein, Broad	ENCODE	released	1,2	1,3,2	ENCAB848NER	Homo sapiens	adult	54	year										/replicates/448b51ce-4177-452d-95d1-67744f76d703/,/replicates/2e141060-0deb-4360-ab10-8f7babcf57fa/,/replicates/aa437c86-e1b6-43d1-834b-48ed2745f360/
/experiments/ENCSR000AST/	ENCSR000AST	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	A549 treated with 100 nM dexamethasone for 1 hour	A549	H3K4me3 ChIP-seq on human A549 treated with dexamethasone at 100nM	Bradley Bernstein, Broad	ENCODE	released	1,2	1	ENCAB000BLJ	Homo sapiens	adult	58	year	dexamethasone	CHEBI:41879			1	hour				/replicates/2779335f-7c3e-466c-b729-b90867c4c66f/,/replicates/8d2a589f-13cc-45d2-b197-b3bcc8da651d/
/experiments/ENCSR505JQC/	ENCSR505JQC	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	iPS-18a female adult (48 years)	iPS-18a		Bradley Bernstein, Broad	Roadmap	released	1	4	ENCAB000BLF	Homo sapiens	adult	48	year										/replicates/e3dfc6c2-0a85-4359-a155-40e82b8d4f22/
/experiments/ENCSR096EZX/	ENCSR096EZX	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	kidney female embryo (120 days)	kidney		Bradley Bernstein, Broad	Roadmap	released	1	1	ENCAB000BLE	Homo sapiens	embryonic	120	day										/replicates/811471b4-ad7d-48b0-a71e-2662c988ebad/
/experiments/ENCSR989RAL/	ENCSR989RAL	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	iPS-20b male adult (55 years)	iPS-20b		Bradley Bernstein, Broad	Roadmap	released	1,2	4,1	ENCAB000BLF,ENCAB000BLE	Homo sapiens	adult	55	year										/replicates/55cac14b-9664-4a73-ad4c-d710ad3a2f53/,/replicates/c40594e4-09f3-4eaf-b077-e664b572683b/
/experiments/ENCSR000AKN/	ENCSR000AKN	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	endothelial cell of umbilical vein newborn	endothelial cell of umbilical vein	H3K4me3 ChIP-seq on human endothelial cell of umbilical vein	Bradley Bernstein, Broad	ENCODE	released	2,1,3	1	ENCAB000BLJ	Homo sapiens	newborn	unknown											/replicates/da44e600-44d0-4b6e-8472-0b22b45a9b7e/,/replicates/3a301188-a2fc-42b7-89fb-bb2300f4d3a3/,/replicates/cee5df53-f009-4011-865f-1aaf5c70e22f/
/experiments/ENCSR000AML/	ENCSR000AML	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	mammary epithelial cell female adult (50 years)	mammary epithelial cell	H3K4me3  ChIP-seq on human mammary epithelial cell	Bradley Bernstein, Broad	ENCODE	released	2,1	1	ENCAB000BLJ	Homo sapiens	adult	50	year										/replicates/b9eddaaa-800a-4c73-87cf-d6dd7ce21bf3/,/replicates/6f2656de-e5e4-45db-b82a-27d86fdcef25/
/experiments/ENCSR933BVL/	ENCSR933BVL	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	transverse colon female adult (53 years)	transverse colon		Bradley Bernstein, Broad	ENCODE	released	1	1	ENCAB902NZL	Homo sapiens	adult	53	year										/replicates/fcde18c6-748f-49a6-921a-7d8f262dafab/
/experiments/ENCSR206STN/	ENCSR206STN	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	gastrocnemius medialis male adult (37 years)	gastrocnemius medialis		Bradley Bernstein, Broad	ENCODE	released	1,2	1,2	ENCAB582RSV	Homo sapiens	adult	37	year										/replicates/3129ae6b-73c3-46ee-aa42-8973e7ebfc49/,/replicates/7710027f-6aba-439e-b84d-91a1bcee6d27/,/replicates/8632c539-89fa-49f9-b510-92e651491cde/,/replicates/2307134d-72c6-4335-9359-56bf9fbb6b88/
/experiments/ENCSR926NMC/	ENCSR926NMC	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	adrenal gland male adult (54 years)	adrenal gland		Bradley Bernstein, Broad	ENCODE	released	1	1	ENCAB902NZL	Homo sapiens	adult	54	year										/replicates/f811157d-6546-4f13-a83d-04719d78574b/
/experiments/ENCSR620TXL/	ENCSR620TXL	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	adrenal gland male adult (37 years)	adrenal gland		Bradley Bernstein, Broad	ENCODE	released	1	1	ENCAB582RSV	Homo sapiens	adult	37	year										/replicates/9cc14040-3e81-45dd-a330-8d75ff0a14c0/
/experiments/ENCSR510NXV/	ENCSR510NXV	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	gastroesophageal sphincter female adult (53 years)	gastroesophageal sphincter		Bradley Bernstein, Broad	ENCODE	released	1,2	1	ENCAB582RSV	Homo sapiens	adult	53	year										/replicates/173b8412-486f-46d9-9a3c-90905d813b9b/,/replicates/5aa9495c-de0b-4013-8440-38425c68e1aa/
/experiments/ENCSR197QDK/	ENCSR197QDK	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	spleen female adult (53 years)	spleen		Bradley Bernstein, Broad	ENCODE	released	1	1	ENCAB582RSV	Homo sapiens	adult	53	year										/replicates/7ba374ab-5aab-42c6-a270-11b4ec0f943d/
/experiments/ENCSR122LOZ/	ENCSR122LOZ	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	ascending aorta female adult (53 years)	ascending aorta		Bradley Bernstein, Broad	ENCODE	released	1	1	ENCAB582RSV	Homo sapiens	adult	53	year										/replicates/3554ef5f-5847-4eda-bdc2-a29f80b50a99/
/experiments/ENCSR515PKY/	ENCSR515PKY	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	smooth muscle cell originated from H9	smooth muscle cell		Bradley Bernstein, Broad	ENCODE	released	1,2	1	ENCAB582RSV	Homo sapiens	embryonic	5	day										/replicates/36bcf284-eb16-458a-9ace-9522efacbf53/,/replicates/96c75c96-b6e0-46d4-9051-abd98d0ae03e/
/experiments/ENCSR354XWM/	ENCSR354XWM	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	neural stem progenitor cell originated from H9	neural stem progenitor cell		Bradley Bernstein, Broad	Roadmap	released	1,2	2,1	ENCAB000BLE	Homo sapiens	embryonic	5	day										/replicates/6e2fe739-cf51-4f07-a72e-33602bf4398c/,/replicates/2854cf50-6e9c-4585-bcd8-a4456c2d476c/
/experiments/ENCSR000ATH/	ENCSR000ATH	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	osteoblast	osteoblast	ChIP-seq on human Osteobl H3K4me3	Bradley Bernstein, Broad	ENCODE	released	3,1,2	1,2	ENCAB000BLJ,ENCAB582RSV	Homo sapiens	unknown	unknown											/replicates/3ee43d5b-03ae-4851-b204-592ec18c1590/,/replicates/d78a5b65-add8-447d-a93c-fa41bd578468/,/replicates/d9f74dfa-4fc6-461f-93f8-e64b92ff6607/,/replicates/1bc6440e-dccf-47db-88fe-97e591d76970/
/experiments/ENCSR652QNW/	ENCSR652QNW	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	cardiac muscle cell	cardiac muscle cell		Bradley Bernstein, Broad	ENCODE	released	1,2	1	ENCAB902NZL	Homo sapiens	embryonic	unknown											/replicates/42011f67-2377-4ed5-b657-865cbc6d6184/,/replicates/7ff37050-cbd7-4cfc-8580-78d6556379a9/
/experiments/ENCSR494LJG/	ENCSR494LJG	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	SU-DHL-6	SU-DHL-6		Bradley Bernstein, Broad	ENCODE	released	1,2	1	ENCAB000BLF,ENCAB000AUV	Homo sapiens	adult	43	year										/replicates/2bccc90d-a9e0-4e98-a39c-292239199349/,/replicates/2a1f8ec9-6066-45ec-9e92-c3924fce5143/
/experiments/ENCSR000ALO/	ENCSR000ALO	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	keratinocyte female	keratinocyte	H3K4me3 ChIP-seq on human NHEK	Bradley Bernstein, Broad	ENCODE	released	2,3,1	1	ENCAB000BLJ	Homo sapiens	unknown	unknown											/replicates/e822294a-b6e3-4ef4-b1ab-f579721fe7f5/,/replicates/920b88bf-956b-4d55-80b7-e0bc5f31defa/,/replicates/58adf03d-680b-4bcc-885f-4c593ae0235d/
/experiments/ENCSR479HKJ/	ENCSR479HKJ	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	fibroblast of arm male adult (53 years)	fibroblast of arm		Bradley Bernstein, Broad	ENCODE	released	1,2	1	ENCAB582RSV	Homo sapiens	adult	53	year										/replicates/88a45fdc-bc3a-4af5-af11-57b8fd6b8c73/,/replicates/4f41b6ca-f10a-4bea-a1fc-9ff83df4209e/
/experiments/ENCSR082NQB/	ENCSR082NQB	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	NCI-H929	NCI-H929		Bradley Bernstein, Broad	ENCODE	released	1,2	1	ENCAB582RSV	Homo sapiens	adult	62	year										/replicates/ccb6a895-8487-4bd6-94c4-3e3cdb547c45/,/replicates/916c2b3d-53b2-4123-ab39-5d56270ea41e/
/experiments/ENCSR435FGK/	ENCSR435FGK	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	A673	A673		Bradley Bernstein, Broad	ENCODE	released	1,2	1	ENCAB000BLI,ENCAB582RSV	Homo sapiens	child	15	year										/replicates/d60e0c1b-1f85-49c3-b61e-ded27e03e2c5/,/replicates/b80df1ed-061a-4d4a-bab5-4db92816a9ec/
/experiments/ENCSR645FBM/	ENCSR645FBM	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	ascending aorta female adult (51 year)	ascending aorta		Bradley Bernstein, Broad	ENCODE	released	1	1	ENCAB902NZL	Homo sapiens	adult	51	year										/replicates/f9c099e8-afb3-4235-b23f-a2ecd3e0f015/
/experiments/ENCSR236XRR/	ENCSR236XRR	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	iPS-15b female adult (48 years)	iPS-15b		Bradley Bernstein, Broad	Roadmap	released	1	1	ENCAB000BLE	Homo sapiens	adult	48	year										/replicates/72fff2e2-f42b-4eda-9b0d-877f8dcb5b65/
/experiments/ENCSR442ZOI/	ENCSR442ZOI	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	hepatocyte originated from H9	hepatocyte		Bradley Bernstein, Broad	ENCODE	released	1,2	1	ENCAB582RSV	Homo sapiens	embryonic	5	day										/replicates/de1d055c-3478-46d2-b36d-fd4c2c58c698/,/replicates/21fb073f-295b-4bb4-8e1f-49f6c1dea601/
/experiments/ENCSR508UPW/	ENCSR508UPW	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	esophagus squamous epithelium female adult (53 years)	esophagus squamous epithelium		Bradley Bernstein, Broad	ENCODE	released	1,2	1	ENCAB582RSV	Homo sapiens	adult	53	year										/replicates/8fc35a2d-5259-4fc6-8f2c-c882a5c3fa67/,/replicates/f6af0aae-b942-45f2-840a-a40d19a801f9/
/experiments/ENCSR000AMW/	ENCSR000AMW	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	fibroblast of lung female child (11 year) and male adult (45 years)	fibroblast of lung	H3K4me3 ChIP-seq on human NHLF	Bradley Bernstein, Broad	ENCODE	released	2,1	1	ENCAB000BLJ	Homo sapiens	adult,child	45,11	year										/replicates/0231a7cf-1cea-4946-9bf2-edeb44e70af2/,/replicates/de164b49-7cff-4be3-b6b9-65a17902c11a/
/experiments/ENCSR901SIL/	ENCSR901SIL	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	heart left ventricle female adult (53 years)	heart left ventricle		Bradley Bernstein, Broad	ENCODE	released	1	1	ENCAB902NZL	Homo sapiens	adult	53	year										/replicates/d2640d29-ab00-4022-ae36-f53ffcbac275/
/experiments/ENCSR340WQU/	ENCSR340WQU	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	HeLa-S3	HeLa-S3		Bradley Bernstein, Broad	ENCODE	released	1,2	1,2	ENCAB582RSV	Homo sapiens	adult	31	year										/replicates/65b41851-3d62-4a14-b641-582c6a58b475/,/replicates/84e551f4-3bde-403b-b64e-9c0813f780a0/,/replicates/761afb7c-c204-45d6-96ce-063eb370ce9a/
/experiments/ENCSR985MIB/	ENCSR985MIB	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	MCF-7	MCF-7		Bradley Bernstein, Broad	ENCODE	released	1,2	1	ENCAB000BLG,ENCAB582RSV	Homo sapiens	adult	69	year										/replicates/cf83248f-50b0-4c2a-adbb-3282194182e3/,/replicates/40756d9d-f6af-46b6-8918-a8dccc61b46e/
/experiments/ENCSR984KWT/	ENCSR984KWT	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	thoracic aorta male adult (37 years)	thoracic aorta		Bradley Bernstein, Broad	ENCODE	released	1	1	ENCAB582RSV	Homo sapiens	adult	37	year										/replicates/18fe8fee-01a7-40af-8ff5-5f8da39a709d/
/experiments/ENCSR539TKY/	ENCSR539TKY	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	KMS-11	KMS-11		Bradley Bernstein, Broad	ENCODE	released	1,2	1	ENCAB582RSV	Homo sapiens	adult	67	year										/replicates/542c4a33-2091-443f-a531-34098296623f/,/replicates/84262e53-57a1-4b45-b26a-189109e33f3f/
/experiments/ENCSR176ABZ/	ENCSR176ABZ	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	HUES6	HUES6		Bradley Bernstein, Broad	Roadmap	released	1,2	1	ENCAB000BLE	Homo sapiens	embryonic	unknown											/replicates/7e7ed9cf-f1ac-4b85-b3af-e886ef6de650/,/replicates/61ea3af7-7c40-4fa9-b7e2-72abe0028a75/
/experiments/ENCSR785DJD/	ENCSR785DJD	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	gastrocnemius medialis female adult (53 years)	gastrocnemius medialis		Bradley Bernstein, Broad	ENCODE	released	1	1	ENCAB902NZL	Homo sapiens	adult	53	year										/replicates/3a4f9bd2-e173-4fea-9881-f559bdf306a1/
/experiments/ENCSR314SPW/	ENCSR314SPW	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	tibial nerve female adult (53 years)	tibial nerve		Bradley Bernstein, Broad	ENCODE	released	1	1	ENCAB902NZL	Homo sapiens	adult	53	year										/replicates/72f62855-1481-487d-846b-41d845004c39/
/experiments/ENCSR358RVW/	ENCSR358RVW	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	heart male embryo (91 day)	heart		Bradley Bernstein, Broad	Roadmap	released	1	4	ENCAB000BLE	Homo sapiens	embryonic	91	day										/replicates/156cdf89-ed2d-4f43-9171-b60d37816318/
/experiments/ENCSR000AMP/	ENCSR000AMP	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	HepG2	HepG2	H3K4me3 ChIP-seq on human HepG2	Bradley Bernstein, Broad	ENCODE	released	2,1	1	ENCAB000BLJ	Homo sapiens	child	15	year										/replicates/b0bc7a08-a452-4099-985b-0a4b5fbcad52/,/replicates/da8d12c4-460b-47a8-ac60-7b36145470de/
/experiments/ENCSR922CAT/	ENCSR922CAT	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	mid-neurogenesis radial glial cells genetically modified using stable transfection originated from H9	mid-neurogenesis radial glial cells		Bradley Bernstein, Broad	ENCODE	released	1,2	1	ENCAB000AUU,ENCAB582RSV	Homo sapiens	embryonic	5	day										/replicates/5a2caf28-2b3f-4566-a240-ca984e7af9a6/,/replicates/4a08dbcc-c9d8-41c1-8a48-e1e189a5db53/
/experiments/ENCSR901BRV/	ENCSR901BRV	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	thyroid gland male adult (37 years)	thyroid gland		Bradley Bernstein, Broad	ENCODE	released	1	1	ENCAB902NZL	Homo sapiens	adult	37	year										/replicates/e14e261b-8160-4dbb-b934-8d88f988ba6a/
/experiments/ENCSR915QOL/	ENCSR915QOL	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	fibroblast of lung female child (11 year) and male adult (45 years)	fibroblast of lung		Bradley Bernstein, Broad	ENCODE	released	1,2	1	ENCAB582RSV	Homo sapiens	child,adult	11,45	year										/replicates/6d81ba14-481f-43ce-b90a-e236c0c43b5b/,/replicates/a5a2654f-aa35-43a4-9cc5-b177b1aba04b/
/experiments/ENCSR894OYM/	ENCSR894OYM	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	HUES64	HUES64		Bradley Bernstein, Broad	Roadmap	released	1,2	1	ENCAB000BLE	Homo sapiens	embryonic	unknown											/replicates/cca84507-712f-467a-b965-7d694b7bf244/,/replicates/4707be36-b027-4f50-b5e3-03a768bec9bd/
/experiments/ENCSR814XPE/	ENCSR814XPE	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	H1-hESC	H1-hESC		Bradley Bernstein, Broad	ENCODE	released	1,4,3,2	1,2	ENCAB582RSV,ENCAB000BLE,ENCAB000BLF	Homo sapiens	embryonic	unknown											/replicates/d83c06eb-9444-4aed-8689-943554e89f7b/,/replicates/0430419b-b793-4c41-8ee1-240016d61255/,/replicates/f7dba5e4-9522-4627-9ed4-f7858f0a2b62/,/replicates/42727cdc-ba47-49a1-9312-527dfad82f08/,/replicates/9c45970f-80c6-45f8-b368-d5272a5d9371/
/experiments/ENCSR564VIX/	ENCSR564VIX	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	DND-41	DND-41		Bradley Bernstein, Broad	ENCODE	released	1,2	1	ENCAB582RSV	Homo sapiens	child	13	year										/replicates/d12ce914-aeda-4bee-bcb4-082e8bf6e1de/,/replicates/d39cdf6f-9e64-4b86-94ad-7224af1e866d/
/experiments/ENCSR662PLB/	ENCSR662PLB	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	neuroepithelial stem cell genetically modified using stable transfection originated from H9	neuroepithelial stem cell		Bradley Bernstein, Broad	ENCODE	released	3,1,2	3,1	ENCAB582RSV,ENCAB000AUU	Homo sapiens	embryonic	5	day										/replicates/e96ac052-15d7-4ca1-9934-23aaea4d813e/,/replicates/cfe88bec-0169-41c8-a392-fe2c710d0d82/,/replicates/60ea9546-f5da-462c-9dd6-2330c7033318/
/experiments/ENCSR000ASN/	ENCSR000ASN	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	CD14-positive monocyte female	CD14-positive monocyte	H3K4me3 ChIP-seq on human monocytes CD14+ (RO01746)	Bradley Bernstein, Broad	ENCODE	released	1,2	1,2	ENCAB000BLJ,ENCAB582RSV	Homo sapiens	unknown	unknown											/replicates/02fa5fec-3b64-440e-b6f2-2c73d2537f6a/,/replicates/25ea4b5b-b39c-41f3-9a93-dfa1722a0cee/,/replicates/e182b87e-5934-4045-b46b-b6b420ecb183/
/experiments/ENCSR000AOF/	ENCSR000AOF	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	HeLa-S3	HeLa-S3	H3K4me3 ChIP-seq on human HeLa-S3	Bradley Bernstein, Broad	ENCODE	released	1,2	1	ENCAB000BLJ	Homo sapiens	adult	31	year										/replicates/39bad386-255f-459e-92ad-6f189eaeeb04/,/replicates/08425c99-59bb-466f-aa12-e6c3bab4b955/
/experiments/ENCSR668LDD/	ENCSR668LDD	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	K562	K562		Bradley Bernstein, Broad	ENCODE	released	1,2	1	ENCAB582RSV	Homo sapiens	adult	53	year										/replicates/a4637001-85f6-49be-9a24-e4ea2abfd0bb/,/replicates/c8c03a41-de0a-405f-b9be-c5160977879b/
/experiments/ENCSR813ZEY/	ENCSR813ZEY	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	transverse colon male adult (37 years)	transverse colon		Bradley Bernstein, Broad	ENCODE	released	1	1	ENCAB582RSV	Homo sapiens	adult	37	year										/replicates/16e30cbb-e11d-4a49-9c25-6c6e31888829/
/experiments/ENCSR434AFF/	ENCSR434AFF	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	neutrophil male	neutrophil		Bradley Bernstein, Broad	Roadmap	released	1	2,1	ENCAB000ASG,ENCAB000BLE	Homo sapiens	unknown	unknown											/replicates/14b97516-bcc0-4ecc-ab09-7cac53b52948/,/replicates/a5ddaf35-a7be-4d28-bf26-bde4685f8b6f/
